Botanical name,Common name,Toxicity,Palatability,palatability_encoded,palatability_timing,Digestible DM %,ME (MJ/kg DM),CP %,Source,digestible_mean,digestible_min_max_1,digestible_min_max_2,energy_mean,energy_min_max_1,energy_min_max_2,protein_mean,protein_min_max_1,protein_min_max_2
Cynara cardunculus,Artichoke thistle,,Leaves,palatability_moderate,leaves_palatable,,11.5,14.8,Cunningham et al. (1992); McGregor (2005),,,,11.5,,,14.8,,
Acacia acinacea,Gold-dust wattle,,Leaves,palatability_moderate,leaves_palatable,,7.2,14.7,McGregor (2005),,,,7.2,,,14.7,,
Acacia aneura,Mulga,,Leaves,palatability_moderate,leaves_palatable,,6.5,12,McGregor (2005),,,,6.5,,,12,,
Acacia dealbata,Silver wattle,,Leaves,palatability_moderate,leaves_palatable,,8.3,14.8,McGregor (2005),,,,8.3,,,14.8,,
Acacia farnesiana,Mimosa bush,,Leaves,palatability_moderate,leaves_palatable,,7.9,23,McGregor (2005),,,,7.9,,,23,,
Acacia pendula,Weeping myall; boree; balaar,,Leaves,palatability_moderate,leaves_palatable,52.76-59.42,7.91-8.91,13.25-15.63,Cunningham et al. (1992); NSW DPI,,52.76,59.42,,7.91,8.91,,13.25,15.63
Alectryon oleifolius,Bullock bush,,Leaves,palatability_moderate,leaves_palatable,,,,,,,,,,,,,
Leptospermum juniperinum,Manuka,,Leaves,palatability_moderate,leaves_palatable,,8.6,6.4,McGregor (2005),,,,8.6,,,6.4,,
Lyceum ferocissimum,African boxthorn,,Leaves,palatability_moderate,leaves_palatable,,12.4,28.3,Going Into Goats guide (2006),,,,12.4,,,28.3,,
Panicum maximum,Guinea grass,,Vegetative,palatability_moderate,leaves_palatable stems_palatable,65.35,9.8,16.19,NSW DPI,65.35,,,9.8,,,16.19,,
Setaria incrassata,Purple pidgeon grass,Oxalates,Vegetative,palatability_moderate,leaves_palatable stems_palatable,47.57,7.14,6.94,NSW DPI,47.57,,,7.14,,,6.94,,
,,,,palatability_moderate,leaves_palatable stems_palatable,,,,,,,,,,,,,
Brassica tournefortii,Wild turnip,Goitrogens,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,80.16,12.02,26.56,Everist (1974) / NSW DPI,80.16,,,12.02,,,26.56,,
Carduus pycnocephalus,Slender thistle,Nitrates,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,,,,Everist (1974),,,,,,,,,
Lactuca serriola,Prickly lettuce,Respiratory distress,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,,,,,,,,,,,,,
Maireana pyramidata,Black bluebush,Oxalates/salt,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,46.8-67,6.4-9.7,13-21,Productive Nutrition database; Simmonds et al. (2000),,46.8,67,,6.4,9.7,,13,21
Maireana aphylla,Cottonbush,Oxalates,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,41.4-72.2,5.9-10.8,5.6-29.5,Productive Nutrition database; Simmonds et al. (2000),,41.4,72.2,,5.9,10.8,,5.6,29.5
Medicago falcata,Yellowflower lucerne,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,,,,,,,,,,,,,
Medicago sativa,Lucerne,Saponins; nitrates,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,41.7-84.2,5.6-12.4,7.9-39.7,Productive Nutrition database; Everist (1974),,41.7,84.2,,5.6,12.4,,7.9,39.7
Meuhlenbeckia spp,Lignum,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,37.72,5.66,6.06,NSW DPI,37.72,,,5.66,,,6.06,,
Rosa rubiginosa,Sweet briar,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,49.88,7.48-10.5,4.75-20.7,NSW DPI; Going Into Goats guide (2006),49.88,,,,7.48,10.5,,4.75,20.7
Rubus fruiticosus,Blackberry,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,69.18,10.38-10.5,15.31-21,NSW DPI; Going Into Goats guide (2006),69.18,,,,10.38,10.5,,15.31,21
Sclerolaena birchii,Galvanised burr,Oxalates,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,45.33-49.26,6.8-7.39,7-12.63,NSW DPI,,45.33,49.26,,6.8,7.39,,7,12.63
Silybum marianum,Variegated thistle,Nitrates,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,72.51-80.53,10.88-12.08,19.38-24.13,Simmonds et al. (2000); NSW DPI,,72.51,80.53,,10.88,12.08,,19.38,24.13
Solanum carolinense,Carolina horse nettle,Solanine - diarrhoea,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,,,,Simmonds et al. (2000),,,,,,,,,
Urtica incisa,Scrub nettle; tall nettle,Haemolytic saponins,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,,,,Everist (1974),,,,,,,,,
Ventilago viminalis,Supplejack,Tannins,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,68.39-70.72,10.26-10.61,10.69-13.69,Simmonds et al. (2000); NSW DPI,,68.39,70.72,,10.26,10.61,,10.69,13.69
Acacia aneura,Mulga,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,50.07-54.8,7.3-7.8,7.81-10.9,Productive Nutrition database; NSW DPI,,50.07,54.8,,7.3,7.8,,7.81,10.9
Acacia escelsa,Ironwood,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,58.69,8.8,13.5,NSW DPI,58.69,,,8.8,,,13.5,,
Acacia homalophylla,Yarran,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,low,poor,good,Cunningham et al. (1992),low,,,poor,,,good,,
Acacia paradoxa,Kangaroo thorn,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,,,,,,,,,,,,,
Apophyllum anomalum,Warrior bush; broombush; current bush,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,59.27-71.02,8.89-10.65,11.56-21,NSW DPI,,59.27,71.02,,8.89,10.65,,11.56,21
Atalaya hemiglauca,Whitewood,Fruits poisonous,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,,,,,,,,,,,,,
Atriplex spp,Saltbushes,Nitrates & oxalates,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,42.8-82.5,5.7-12.2,9.6-26.7,Simmonds et al. (2000); Productive Nutrition database,,42.8,82.5,,5.7,12.2,,9.6,26.7
Brachychiton populneus,Kurrajong,Seeds & fruits,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,44.77-57.8,6.72-8.67,8.38-11.56,NSW DPI,,44.77,57.8,,6.72,8.67,,8.38,11.56
Callitris endlicheri,Black cyprus pine,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,,,,,,,,,,,,,
Capparis mitchellii,Wild orange; orange bush,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,59.97-67.70,8.99-10.15,12.13-17.56,NSW DPI,,59.97,67.70,,8.99,10.15,,12.13,17.56
Casuarina cristata,Belah,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,48.22-69.06,7.23-10.36,6.56-13.88,NSW DPI,,48.22,69.06,,7.23,10.36,,6.56,13.88
Chamaecytisus proliferus,Lucerne tree; tagasaste,Alkaloids,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,34.99-76.14,5.25-11.42,4.63-24.06,NSW DPI; Simmonds et al. (2000),,34.99,76.14,,5.25,11.42,,4.63,24.06
Crataegus spp,Hawthorn,Prussic acid,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,,,,Everist (1974),,,,,,,,,
Cytisus scoparius,Scotch broom,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,,,,,,,,,,,,,
Dodoneae attenuata,Narrow-leaved hopbush,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,43.05-64.15,6.46-9.62,6.25-9.69,NSW DPI,,43.05,64.15,,6.46,9.62,,6.25,9.69
Heterodendrum oleifolium,Rosewood; boonery,Prussic acid,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,44.13-60,6.62-9,8.6-13.38,NSW DPI; Everist (1974),,44.13,60,,6.62,9,,8.6,13.38
Owenia acidula,Gruie; colane,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,59.4-67.33,8.9-10.1,10.4-13,NSW DPI,,59.4,67.33,,8.9,10.1,,10.4,13
Tamarix aphylla,Athel pine,,All stages,palatability_high,leaves_palatable stems_palatable flowers_palatable,,,,Badshah and Hussein (2011),,,,,,,,,
Carduus nutans,Nodding thistle,,Flowering,palatability_moderate,palatable_at_flowering,,,,,,,,,,,,,
Carthamus lanatus,Saffron thistle,,Flowering,palatability_moderate,palatable_at_flowering,,12.1,14.4,Going Into Goats guide (2006),,,,12.1,,,14.4,,
Chondrilla juncea,Skeleton weed,,Flowering,palatability_moderate,palatable_at_flowering,,7.68,9.06,NSW DPI,,,,7.68,,,9.06,,
Cirsium vulgare,Spear thistle,Nitrates,Flowering,palatability_moderate,palatable_at_flowering,,7.25-11.3,8.13-20.25,NSW DPI,,,,,7.25,11.3,,8.13,20.25
Craspedia spp,Billybuttons,Staggers,Flowering,palatability_moderate,palatable_at_flowering,,,,Everist (1974),,,,,,,,,
Echium plantagenium,Patterson's curse,Alkaloids,Flowering,palatability_moderate,palatable_at_flowering,,,,Everist (1974),,,,,,,,,
Erodium spp,Crowfoot; geranium,,Flowering,palatability_moderate,palatable_at_flowering,68-75,10.2-11.3,12.63-16.25,NSW DPI,,68,75,,10.2,11.3,,12.63,16.25
Lepidium spp,Peppercress,,Flowering,palatability_moderate,palatable_at_flowering,,,,,,,,,,,,,
Medicago minima,Woolly burr medic,Dermatitis /PS,Flowering,palatability_moderate,palatable_at_flowering,40.2-68,5.4-9.8,14.5-26.6,Productive Nutrition database,,40.2,68,,5.4,9.8,,14.5,26.6
Onopordum spp,Scotch thistle,,Flowering,palatability_moderate,palatable_at_flowering,50.6-68,7.6-10.2,6.25-18.19,NSW DPI,,50.6,68,,7.6,10.2,,6.25,18.19
Phytolacca octandra,Inkweed,Roots only- saponins,Flowering,palatability_moderate,palatable_at_flowering,,,,Everist (1974),,,,,,,,,
Plantago spp,Plantain,,Flowering,palatability_moderate,palatable_at_flowering,,,,,,,,,,,,,
Rumex crispus,Curled dock,Oxalates,Flowering,palatability_moderate,palatable_at_flowering,,,,Simmonds et al. (2000),,,,,,,,,
Sisymbrium spp,Mustard weed,,Flowering,palatability_moderate,palatable_at_flowering,,,,,,,,,,,,,
Verbena bonariensis,Purpletop,,Flowering,palatability_moderate,palatable_at_flowering,,,,,,,,,,,,,
Acacia mearnsii,Black wattle,,Flowering,palatability_moderate,palatable_at_flowering,41.18-59.83,6.18-8.97,5-15.94,NSW DPI,,41.18,59.83,,6.18,8.97,,5,15.94
Dodoneae viscosa,Broad-leaved hop bush,,Flowering,palatability_moderate,palatable_at_flowering,,,,,,,,,,,,,
Eucalyptus albens,White box,,Flowering,palatability_moderate,palatable_at_flowering,58.95,8.84,7.31,NSW DPI,58.95,,,8.84,,,7.31,,
Eucalyptus polyanthemos,Red box,,Flowering,palatability_moderate,palatable_at_flowering,,,,,,,,,,,,,
Marrubium vulgare,Horehound,,Flowering/leaves,palatability_moderate,palatable_at_flowering leaves_palatable,42-67,5.3-10.8,9.5-21,Productive Nutrition database,,42,67,,5.3,10.8,,9.5,21
Aristida spp,Wiregrass; kerosene grass,,Dry,palatabililty_moderate,dry_material,47.3-48.4,6.8-7,5.3-9.4,Productive Nutrition database,,47.3,48.4,,6.8,7,,5.3,9.4
Astrebla lappacea,Curly mitchell grass,,,,,,,4.7-10.8,NSW DPI,,,,,,,,4.7,10.8
Astrebla pectinata,Barley mitchell grass,,,,,36.9-73.5,4.5-11.3,3.3-23.1,Productive Nutrition database,,36.9,73.5,,4.5,11.3,,3.3,23.1
Austrodanthonia spp,Wallaby grass,,,,,40.64-71.92,6.1-10.79,2.31-23.25,NSW DPI,,40.64,71.92,,6.1,10.79,,2.31,23.25
Austrostipa spp,Speargrass,,,,,38.94-60.06,5.84-9.01,2.56-13.38,NSW DPI,,38.94,60.06,,5.84,9.01,,2.56,13.38
Cenchrus spp,Buffel grass,Oxalates,,,,48.43-68.21,7.26-10.23,4.69-16.31,Simmonds et al. (2000); NSW DPI,,48.43,68.21,,7.26,10.23,,4.69,16.31
Chloris gayana,Rhodes grass,Prussic acid/cyanide,,,,40.37-59.48,6.06-8.92,2.88-15.06,Everist (1974),,40.37,59.48,,6.06,8.92,,2.88,15.06
Chloris truncata,Windmill grass; umbrella grass,Prussic acid/cyanide,,,,44.71-65.25,6.71-9.79,4.81-15.63,NSW DPI,,44.71,65.25,,6.71,9.79,,4.81,15.63
Dichanthium sericeum,Queensland bluegrass,,,,,38-62,7.69,2-Jul,NSW DPI,,38,62,7.69,,,,2,Jul
Digitaria eriantha,Pangola grass; digit grass,,Dry,palatabililty_moderate,,45.87,6.88,2.75,NSW DPI,45.87,,,6.88,,,2.75,,
Enteropogon acicularis/rasmosus,Curly windmill grass,,Young growth,palatabililty_moderate,,37-62,,13-May,NSW DPI,,37,62,,,,,13,May
Eragrostis australasica,Tall / swamp canegrass,,,,,31.7-56.1,3.4-8.4,3.1-15.2,Productive Nutrition database,,31.7,56.1,,3.4,8.4,,3.1,15.2
Eragrostis eriopoda,Woollybutt; neverfail,,,,,44.2-46.8,6-6.4,3.4-11.8,Productive Nutrition database,,44.2,46.8,,6,6.4,,3.4,11.8
Hordeum leporinum,Barley grass,,,,,56.1-78.5,8-11.5,11.2-32,Productive Nutrition database,,56.1,78.5,,8,11.5,,11.2,32
Lolium perenne,Perennial ryegrass,Alkaloids,,,,59.2-73.5,8.6-11,12.9-27.7,Productive Nutrition database,,59.2,73.5,,8.6,11,,12.9,27.7
Nassella trichotoma,Serrated tussock,,,,,44-51,5.5-7,,NSW DPI,,44,51,,5.5,7,,,
Paspalum dilatatum,Paspalum,Ergot infection of seed heads,,,,41.44-61.72,6.22-9.26,5.06-13,NSW DPI,,41.44,61.72,,6.22,9.26,,5.06,13
Poa labillardieri,Poa tussock,,Dry,palatabililty_moderate,,39.93-53.37,5.91-8.01,4.25-9.44,NSW DPI,,39.93,53.37,,5.91,8.01,,4.25,9.44
Sorghum halepense,Johnson grass,Nitrates / cyanide,,,,46.47,6.97,6.88,Simmonds et al. (2000); NSW DPI,46.47,,,6.97,,,6.88,,
Themeda triandra,Kangaroo grass,,,,,44.44-53.77,6.67-8.07,4.81-6.38,NSW DPI,,44.44,53.77,,6.67,8.07,,4.81,6.38
Zygochloa paradoxa,Sandhill canegrass,,,,,32.7-49.9,3.5-6.9,1.8-10.3,Productive Nutrition database,,32.7,49.9,,3.5,6.9,,1.8,10.3
Hypericum perforatum,St John's wort; goatweed,Hypericin (PS),Seldom eaten,not_eaten,,35-82,5.28-12.27,3.75-21.3,NSW DPI,,35,82,,5.28,12.27,,3.75,21.3
Pteridium esculentum,Common bracken,Thiaminases,Occasionally,palatabililty_low,,,,,Simmonds et al. (2000),,,,,,,,,
Rubus fruiticosus,Blackberry,,Young stems,palatabililty_moderate,,,10.5,21,Going Into Goats guide (2006),,,,10.5,,,21,,
Rubus fruiticosus,Blackberry,,Old stems,palatabililty_moderate,,,7.4,6.1,Going Into Goats guide (2006),,,,7.4,,,6.1,,
Trifolium spp,Clovers,,Mature,palatabililty_moderate,,,,,,,,,,,,,,
Brachychiton rupestris,Bottle tree,Nitrates,Leaves /trunk,palatabililty_moderate,,,,2,Everist (1974),,,,,,,2,,
Callitris columellaris,Native cyprus pine,,Occasionally,palatabililty_low,,20.12,3.02,0.75,NSW DPI,20.12,,,3.02,,,0.75,,
Cassia artemisioides,Silver cassia,Glycosides -seed pods,Occasionally,palatabililty_low,,,,,Simmonds et al. (2000),,,,,,,,,
Cassia eremophila,Punty bush; desert cassia,Glycosides -seed pods,Occasionally,palatabililty_low,,,,,Simmonds et al. (2000),,,,,,,,,
Cassinia spp,Dolly bush; chinese shrub; biddy bush; sticky cassinia,,Isolated plants,palatabililty_low,,,,,,,,,,,,,,
Chenopodium nitrariaceum,Nitre bush; nitre goosefoot,Nitrates & oxalates,,,,,,,Simmonds et al. (2000),,,,,,,,,
Eremophila longifolia,Emu bush,If fed alone (Everist  1974),All stages,palatabililty_high,,46-56.7,6.3-8.1,7.4-11.5,Productive Nutrition database; NSW DPI,,46,56.7,,6.3,8.1,,7.4,11.5
Eremophila mitchellii,Budda; false sandalwood,,Occasionally,palatabililty_low,,,,,,,,,,,,,,
Eucalyptus melliodora,Yellow box,,Sucker regrowth,palatabililty_moderate,regrowth_eaten,,,,Going Into Goats guide (2006),,,,,,,,,
Eucalyptus populnea,Bimble box; poplar box,,Occasionally,palatabililty_low,,,,,Cunningham et al. (1992),,,,,,,,,
Eucalyptus spp,Box,gum & mallee,Sucker leaves,palatabililty_moderate,regrowth_eaten,,,,Going Into Goats guide (2006),,,,,,,,,
Geijera parviflora,Wilga,,Occasionally,palatabililty_low,,55.04-69.96,8.26-10.49,8.69-15.94,NSW DPI,,55.04,69.96,,8.26,10.49,,8.69,15.94
Gomphocarpus fruticose,Narrow-leaved cotton bush,Cardiac glycosides,Rarely,palatabililty_low,,51.47,7.72,12.13,Simmonds et al. (2000); NSW DPI,51.47,,,7.72,,,12.13,,
Lyceum ferocissimum,African boxthorn,,Stems,palatabililty_moderate,,,9.2,11.6,Going Into Goats guide (2006),,,,9.2,,,11.6,,
Schinus areira,Peppercorn,,Occasionally,palatabililty_low,,,10.2,20.3,McGregor (2005),,,,10.2,,,20.3,,
Tamarix parviflora,Small flower tamarisk,,New growth,palatabililty_moderate,,,9,20.2,McGregor (2005); Lovich (no date),,,,9,,,20.2,,
