Scientific Name,Response to P cinnamomi,BC Act listing,Current habitat score (A),Future habitat score,Records (adj.),Distance (adj.),Abundance score (B),Proximity score (C),Current priority score,Future priority score
Isopogon fletcheri,Severe,V,0.97,0.89,10,10,1.00,1.00,97,89
Hibbertia circinata,Severe,CE,0.91,0.90,10,10,1.00,1.00,91,90
Prostanthera marifolia,Severe,CE,0.89,0.86,10,10,1.00,1.00,89,86
Wollemia nobilis,Severe,CE,0.83,0.83,10,10,1.00,1.00,83,83
Dracophyllum macranthum,Severe,,0.72,0.68,10,10,1.00,1.00,72,68
Grevillea irrasa subsp. irrasa,Severe,,0.71,0.64,11,10,0.96,1.00,69,62
Prostanthera walteri,Severe,,0.66,0.71,10,10,1.00,1.00,66,71
Pultenaea baeuerlenii,Severe,V,0.70,0.80,10,12,1.00,0.93,65,74
Nematolepis rhytidophylla,Severe,V,0.74,0.69,10,19,1.00,0.79,58,54
Pultenaea praecipua subsp. praecipua,Severe,CE,0.60,0.63,10,11,1.00,0.97,58,61
Darwinia peduncularis,Severe,V,0.83,0.71,33,10,0.66,1.00,54,46
Pultenaea parrisiae,Severe,V,0.52,0.67,10,10,1.00,1.00,52,67
Pultenaea benthamii,Severe,,0.66,0.73,21,18,0.76,0.80,40,44
Persoonia mollis subsp. budawangensis,Severe,,0.65,0.75,44,12,0.61,0.91,36,41
Tasmannia purpurascens,Severe,V,0.82,0.87,113,18,0.49,0.80,32,34
Phebalium speciosum,Severe,CE,0.44,0.02,10,30,1.00,0.68,30,2
Pultenaea pycnocephala,Severe,,0.68,0.53,59,43,0.56,0.61,24,18
Tetratheca subaphylla,Severe,,0.51,0.60,18,106,0.80,0.49,20,24
Phebalium squamulosum subsp. alpinum,Severe,,0.05,0.19,17,139,0.81,0.47,2,7
Haloragodendron lucasii,Moderate,E,0.92,0.93,10,10,1.00,1.00,92,93
Boronia imlayensis,Moderate,CE,0.91,0.90,10,10,1.00,1.00,91,90
Hibbertia spanantha,Moderate,CE,0.88,0.66,10,10,1.00,1.00,88,65
Hibbertia puberula subsp. glabrescens,Moderate,CE,0.76,0.61,10,10,1.00,1.00,76,61
Correa lawrenceana var. genoensis,Moderate,E,0.65,0.66,10,12,1.00,0.94,61,62
Plinthanthesis rodwayi,Moderate,CE,0.57,0.74,11,10,0.96,1.00,55,71
Pomaderris delicata,Moderate,CE,0.45,0.47,10,10,1.00,1.00,45,47
Pultenaea aristata,Moderate,V,0.96,0.89,133,16,0.47,0.84,38,35
Epacris purpurascens var. purpurascens,Moderate,V,0.85,0.72,181,10,0.44,0.98,37,31
Correa baeuerlenii,Moderate,V,0.71,0.69,86,20,0.52,0.77,28,27
Phebalium bifidum,Moderate,E,0.37,0.08,10,23,1.00,0.73,27,6
Grevillea obtusiflora subsp. obtusiflora,Moderate,E,0.48,0.22,27,31,0.70,0.67,22,10
Dillwynia tenuifolia,Moderate,V,0.54,0.14,495,11,0.37,0.97,19,5
Nematolepis ovatifolia,Moderate,V,0.06,0.17,13,127,0.90,0.48,3,8
Callistemon purpurascens,Low,CE,0.91,0.89,10,10,1.00,1.00,91,89
Eucalyptus imlayensis,Low,CE,0.91,0.90,10,10,1.00,1.00,85,90
Acacia terminalis subsp. Eastern Sydney (G.P.Phillips 126) NSW Herbarium,Low,E,0.85,0.78,10,10,1.00,0.99,84,77
Asterolasia buxifolia,Low,E,0.76,,10,11,1.00,0.96,73,
Grevillea acanthifolia subsp. paludosa,Low,E,0.66,,10,10,1.00,1.00,66,
Grevillea shiressii,Low,V,0.86,,22,10,0.74,1.00,64,
Westringia davidii,Low,V,0.67,,14,10,0.87,1.00,58,
Prostanthera askania,Low,E,0.82,,27,10,0.70,1.00,57,
Callitris oblonga subsp. corangensis,Low,V,0.55,,10,10,1.00,1.00,55,
Persoonia hindii,Low,E,0.96,,35,15,0.65,0.85,53,
Boronia deanei,Low,V,0.93,,38,14,0.63,0.88,52,
Persoonia acerosa,Low,V,0.97,,74,10,0.53,0.99,51,
Prostanthera palustris,Low,V,0.76,,14,20,0.87,0.77,51,
Grevillea mollis,Low,E,0.71,,10,26,1.00,0.71,50,
Banksia vincentia,Low,CE,0.66,,10,21,1.00,0.75,50,
Hakea archaeoides,Low,V,0.69,,21,12,0.76,0.93,49,
Banksia conferta,Low,CE,0.55,,10,15,1.00,0.86,47,
Zieria baeuerlenii,Low,E,0.71,,15,20,0.85,0.77,47,
Zieria murphyi,Low,V,0.80,,25,19,0.72,0.79,45,
Leionema ralstonii,Low,V,0.68,,43,10,0.61,1.00,41,
Grevillea renwickiana,Low,E,0.56,,24,15,0.72,0.84,34,
Grevillea guthrieana,Low,E,0.64,,32,33,0.66,0.66,28,
Prostanthera stricta,Low,V,0.51,,25,38,0.72,0.64,23,
Prostanthera staurophylla,Low,E,0.35,,10,42,1.00,0.62,22,
Rhodomyrtus psidioides,Low,CE,0.68,,504,30,0.37,0.68,17,
Eucalyptus parvula,Low,V,0.39,,81,26,0.52,0.70,15,
Rhodamnia rubescens,Low,CE,0.71,,2769,33,0.29,0.66,14,
Epacris petrophila,Low,,0.12,,76,122,0.53,0.48,3,
Pimelea bracteata,Low,CE,0.04,,51,101,0.59,0.50,1,
Eucalyptus copulans,Unknown,E,1.00,,10,10,1.00,1.00,100,
Lepidosperma evansianum,Unknown,V,0.99,,10,10,1.00,1.00,99,
Epacris lithophila,Unknown,,0.98,,10,10,1.00,1.00,98,
Hibbertia pustulata,Unknown,,0.98,,10,10,1.00,1.00,98,
Zieria covenyi,Unknown,E,0.98,,10,10,1.00,1.00,98,
Genoplesium citriodorum  ,Unknown,,0.97,,10,10,1.00,1.00,97,
Hibbertia oxycraspedota,Unknown,,0.97,,10,10,1.00,1.00,97,
Boronia barkeriana subsp. gymnopetala,Unknown,,0.97,,10,10,1.00,1.00,97,
Euphrasia bowdeniae,Unknown,V,0.97,,10,10,1.00,1.00,97,
Epacris pinoidea,Unknown,,0.97,,10,10,1.00,1.00,97,
Hibbertia ericifolia subsp. acutifolia,Unknown,,0.96,,10,10,1.00,1.00,96,
Thelymitra kangaloonica,Unknown,CE,0.95,,10,10,1.00,1.00,95,
Pterostylis sp. Botany Bay (A.Bishop J221/1-13) NSW Herbarium,Unknown,E,0.95,,10,10,1.00,1.00,95,
Pomaderris adnata,Unknown,E,0.95,,10,10,1.00,1.00,95,
Hibbertia woronorana,Unknown,,0.94,,10,10,1.00,1.00,94,
Prostanthera junonis,Unknown,E,0.93,,10,10,1.00,1.00,93,
Wahlenbergia telfordii  ,Unknown,,0.92,,10,10,1.00,1.00,92,
Hibbertia intermedia,Unknown,,0.92,,10,10,1.00,1.00,92,
Leptospermum petraeum,Unknown,,0.91,,10,10,1.00,1.00,91,
Pittosporum kororoense,Unknown,CE,0.91,,10,10,1.00,1.00,91,
Thismia megalongensis  ,Unknown,,0.91,,10,10,1.00,1.00,91,
Leionema lachnaeoides,Unknown,E,0.90,,10,10,1.00,1.00,90,
Eucryphia jinksii  ,Unknown,,0.90,,10,10,1.00,1.00,90,
"Fontainea sp. Coffs Harbour (A.S.Benwell 341, NSW1102027) NSW Herbarium",Unknown,CE,0.91,,10,10,1.00,0.99,90,
Pomaderris walshii,Unknown,CE,0.97,,10,12,1.00,0.91,89,
Deyeuxia mesathera  ,Unknown,,0.89,,10,10,1.00,1.00,89,
Olearia rugosa subsp. distalilobata,Unknown,,0.88,,10,10,1.00,1.00,88,
Genoplesium morinum  ,Unknown,,0.88,,10,10,1.00,1.00,88,
Haloragodendron gibsonii,Unknown,,0.90,,10,11,1.00,0.97,88,
Epacris hamiltonii,Unknown,E,1.00,,14,10,0.87,1.00,87,
Philotheca papillata,Unknown,V,0.87,,10,10,1.00,1.00,87,
Epacris apiculata,Unknown,,0.99,,14,10,0.87,1.00,86,
Grevillea rivularis,Unknown,CE,0.97,,10,14,1.00,0.87,85,
Deyeuxia appressa,Unknown,E,0.85,,10,10,1.00,1.00,85,
Epacris pilosa,Unknown,,0.91,,12,10,0.93,1.00,84,
Cassinia accipitrum  ,Unknown,,0.84,,10,10,1.00,1.00,84,
Hibbertia cistiflora subsp. quadristaminea,Unknown,,0.97,,10,14,1.00,0.87,84,
Microtis angusii,Unknown,E,0.89,,10,12,1.00,0.94,84,
Callistemon megalongensis,Unknown,CE,0.83,,10,10,1.00,1.00,83,
Eucalyptus dissita,Unknown,V,0.82,,10,10,1.00,1.00,82,
Angophora exul,Unknown,E,0.81,,10,10,1.00,1.00,81,
Pterostylis hians  ,Unknown,,0.80,,10,10,1.00,1.00,80,
Hibbertia decumbens,Unknown,,0.94,,15,10,0.85,1.00,80,
Hibbertia notabilis,Unknown,,0.88,,10,13,1.00,0.91,80,
Grevillea diffusa subsp. constablei,Unknown,,0.96,,16,10,0.83,1.00,79,
Hibbertia hirta,Unknown,,0.83,,10,11,1.00,0.96,79,
Xanthosia scopulicola,Unknown,V,0.97,,17,10,0.81,1.00,79,
Brachyscome ascendens,Unknown,E,0.78,,10,10,1.00,1.00,78,
Typhonium sp. aff. brownii,Unknown,E,0.91,,10,15,1.00,0.85,78,
Grevillea caleyi,Unknown,CE,0.90,,14,10,0.87,0.98,77,
Banksia paludosa subsp. astrolux,Unknown,,0.88,,10,14,1.00,0.88,77,
Hibbertia rhynchocalyx,Unknown,,0.76,,10,10,1.00,1.00,76,
Genoplesium eriochilum  ,Unknown,,0.98,,19,10,0.78,1.00,76,
Grevillea rhizomatosa,Unknown,V,0.82,,12,10,0.93,1.00,76,
Genoplesium bishopii  ,Unknown,,0.76,,10,10,1.00,1.00,76,
Plantago palustris  ,Unknown,,0.90,,12,13,0.93,0.90,76,
Asterolasia rivularis,Unknown,,0.84,,10,13,1.00,0.90,76,
Baloghia marmorata,Unknown,V,0.75,,10,10,1.00,1.00,75,
Pterostylis lineata  ,Unknown,,0.96,,13,14,0.90,0.87,75,
Euphrasia ramulosa  ,Unknown,,0.87,,11,13,0.96,0.89,74,
Leionema sp. Colo River (P.H.Weston 2423),Unknown,,0.74,,10,10,1.00,1.00,74,
Epacris sparsa,Unknown,V,0.74,,10,10,1.00,1.00,74,
Pherosphaera fitzgeraldii,Unknown,E,0.94,,19,10,0.78,1.00,74,
Lysimachia vulgaris var. davurica,Unknown,E,0.87,,10,15,1.00,0.85,74,
Eucalyptus sp. Howes Swamp Creek (M.Doherty 26) NSW Herbarium,Unknown,E,0.73,,10,10,1.00,1.00,73,
Prasophyllum fuscum,Unknown,CE,0.79,,10,12,1.00,0.93,73,
Podolepis monticola  ,Unknown,,0.73,,10,10,1.00,1.00,73,
Pultenaea sp. Olinda (R.Coveny 6616) NSW Herbarium,Unknown,E,0.73,,10,10,1.00,1.00,73,
Hibbertia coloensis,Unknown,,0.72,,10,10,1.00,1.00,72,
Persoonia mollis subsp. maxima,Unknown,E,0.87,,16,10,0.83,1.00,72,
Leptospermum spectabile  ,Unknown,,0.75,,10,11,1.00,0.96,72,
Boronia barkeriana subsp. barkeriana,Unknown,,0.93,,20,10,0.77,1.00,72,
Zieria formosa,Unknown,CE,0.72,,10,10,1.00,1.00,72,
Hibbertia superans,Unknown,E,0.77,,12,10,0.93,1.00,71,
Prasophyllum pallens,Unknown,V,0.96,,20,11,0.77,0.96,71,
Thismia clavarioides  ,Unknown,,0.71,,10,10,1.00,1.00,71,
Leucopogon sp. Gibraltar Range (J.B.Williams s.n. NSW943585),Unknown,,0.71,,10,10,1.00,1.00,71,
Hibbertia praemorsa,Unknown,,0.71,,10,10,1.00,1.00,71,
Cyperus rupicola,Unknown,V,0.80,,10,14,1.00,0.88,71,
Astrotricha sp. Wallagaraugh (R.O.Makinson 1228) NSW Herbarium,Unknown,E,0.79,,10,13,1.00,0.90,71,
Eucalyptus sp. Cattai (Gregson s.n. 28 Aug 1954) NSW Herbarium,Unknown,CE,0.70,,10,10,1.00,1.00,70,
Epacris browniae,Unknown,,0.98,,25,10,0.72,1.00,70,
Leptospermum deanei,Unknown,V,0.90,,19,10,0.78,1.00,70,
Prasophyllum affine,Unknown,E,0.75,,10,12,1.00,0.94,70,
Eucalyptus scopulorum,Unknown,,0.69,,10,10,1.00,1.00,69,
Coronidium telfordii,Unknown,,0.69,,10,10,1.00,1.00,69,
Melaleuca tortifolia  ,Unknown,,0.85,,10,17,1.00,0.81,69,
Genoplesium rhyoliticum,Unknown,E,0.72,,10,11,1.00,0.96,69,
Allocasuarina portuensis,Unknown,E,0.84,,10,16,1.00,0.82,69,
Grevillea neurophylla subsp. fluviatilis,Unknown,,0.79,,10,14,1.00,0.88,69,
Zieria lasiocaulis,Unknown,E,0.77,,13,10,0.90,1.00,69,
Asterolasia trymalioides subsp. areniticola,Unknown,,0.78,,10,14,1.00,0.88,69,
Zieria tuberculata,Unknown,V,0.80,,15,10,0.85,1.00,68,
Correa lawrenceana var. macrocalyx,Unknown,,0.84,,10,17,1.00,0.81,68,
Hibbertia fumana,Unknown,CE,0.68,,10,10,1.00,1.00,68,
Hibbertia stricta subsp. stricta,Unknown,,0.74,,10,12,1.00,0.92,67,
Zieria buxijugum,Unknown,CE,0.67,,10,10,1.00,1.00,67,
Zieria prostrata,Unknown,E,0.92,,11,21,0.96,0.76,67,
Veronica lithophila  ,Unknown,,0.78,,14,10,0.87,0.98,67,
Uromyrtus lamingtonensis  ,Unknown,,0.72,,10,12,1.00,0.92,66,
Deyeuxia microseta  ,Unknown,,0.85,,13,14,0.90,0.87,66,
Monotoca rotundifolia,Unknown,E,0.66,,10,10,1.00,1.00,66,
Prostanthera saxicola var. saxicola,Unknown,,0.79,,10,16,1.00,0.84,66,
Hakea salicifolia subsp. angustifolia,Unknown,,0.84,,19,10,0.78,1.00,66,
Gaultheria viridicarpa,Unknown,E,0.81,,10,17,1.00,0.81,65,
Epacris crassifolia subsp. crassifolia,Unknown,,0.89,,15,14,0.85,0.86,65,
Goodenia rostrivalvis  ,Unknown,,0.96,,30,10,0.68,1.00,65,
Gingidia rupicola,Unknown,E,0.80,,10,17,1.00,0.81,65,
Neoastelia spectabilis,Unknown,V,0.82,,16,11,0.83,0.95,65,
Blandfordia cunninghamii  ,Unknown,,0.97,,32,10,0.66,1.00,64,
Leptospermum rupicola,Unknown,,0.91,,26,10,0.71,1.00,64,
Thelymitra incurva  ,Unknown,,0.81,,10,18,1.00,0.79,64,
Darwinia briggsiae,Unknown,,0.77,,14,11,0.87,0.96,64,
Persoonia brevifolia,Unknown,,0.64,,10,10,1.00,1.00,64,
Gentiana wingecarribiensis,Unknown,CE,0.89,,10,24,1.00,0.72,64,
Carex klaphakei,Unknown,E,0.73,,10,14,1.00,0.88,64,
Pomaderris sericea,Unknown,E,0.72,,10,14,1.00,0.88,64,
Pittosporum oreillyanum  ,Unknown,,0.81,,17,11,0.81,0.96,63,
Astrotricha crassifolia,Unknown,V,0.89,,25,10,0.72,1.00,63,
Grevillea buxifolia subsp. ecorniculata,Unknown,,0.70,,13,10,0.90,1.00,63,
Eidothea hardeniana,Unknown,E,0.63,,10,10,1.00,1.00,63,
Lenwebbia sp. Main Range,Unknown,CE,0.79,,10,18,1.00,0.80,63,
Euphrasia bella,Unknown,V,0.68,,10,12,1.00,0.92,63,
Eucalyptus approximans,Unknown,V,0.84,,11,20,0.96,0.77,63,
Grevillea virgata,Unknown,,0.66,,10,12,1.00,0.94,62,
Hibbertia stricta subsp. furcatula,Unknown,E,0.80,,10,19,1.00,0.78,62,
Homoranthus floydii,Unknown,V,0.88,,17,14,0.81,0.87,62,
Zieria parrisiae,Unknown,CE,0.62,,10,10,1.00,1.00,62,
Pterostylis pulchella,Unknown,V,0.94,,23,13,0.73,0.89,61,
Hibbertia cistiflora subsp. cistiflora,Unknown,,0.90,,18,15,0.80,0.86,61,
Bertya sp. Clouds Creek (M.Fatemi 4) NE Herbarium,Unknown,E,0.78,,10,19,1.00,0.78,61,
Hakea constablei,Unknown,,0.96,,34,11,0.65,0.97,61,
Kunzea aristulata  ,Unknown,,0.66,,10,12,1.00,0.91,61,
Pomaderris mediora,Unknown,,0.87,,15,17,0.85,0.82,61,
Dianella tenuissima  ,Unknown,,0.95,,16,20,0.83,0.77,61,
Leptospermum blakelyi,Unknown,,0.91,,17,17,0.81,0.82,60,
Kunzea juniperoides subsp. pernervosa,Unknown,,0.74,,11,15,0.96,0.85,60,
Trachymene scapigera,Unknown,E,0.77,,10,19,1.00,0.78,60,
Calochilus pulchellus,Unknown,E,0.80,,10,21,1.00,0.75,60,
Boronia inflexa subsp. inflexa,Unknown,,0.60,,10,10,1.00,1.00,60,
Dracophyllum oceanicum,Unknown,,0.82,,13,17,0.90,0.82,60,
Zieria arborescens subsp. decurrens,Unknown,,0.75,,10,18,1.00,0.80,60,
Acacia gordonii,Unknown,E,0.92,,34,10,0.65,1.00,60,
Schoenus evansianus  ,Unknown,,0.83,,13,17,0.90,0.81,60,
Epacris crassifolia subsp. macroflora,Unknown,,0.90,,18,16,0.80,0.84,60,
Prostanthera tallowa,Unknown,,0.74,,10,18,1.00,0.80,59,
Acacia baueri subsp. aspera,Unknown,V,0.96,,24,15,0.72,0.85,59,
Grevillea humilis subsp. lucens,Unknown,,0.67,,10,13,1.00,0.89,59,
Olearia heterocarpa  ,Unknown,,0.76,,19,10,0.78,1.00,59,
Pentachondra dehiscens  ,Unknown,,0.70,,11,14,0.96,0.88,59,
Pterostylis chocolatina  ,Unknown,,0.98,,27,15,0.70,0.86,59,
Pterostylis parca  ,Unknown,,0.80,,11,21,0.96,0.76,59,
Alexfloydia repens,Unknown,E,0.81,,18,12,0.80,0.91,59,
Olearia burgessii  ,Unknown,,0.76,,11,18,0.96,0.80,58,
Hibbertia hexandra,Unknown,E,0.73,,12,15,0.93,0.86,58,
Zieria hindii,Unknown,,0.71,,17,10,0.81,1.00,58,
Eucalyptus aquatica,Unknown,V,0.73,,10,18,1.00,0.79,58,
Grevillea imberbis,Unknown,,0.69,,15,10,0.85,0.99,58,
Macrozamia elegans  ,Unknown,,0.79,,23,10,0.73,1.00,58,
Fontainea oraria,Unknown,CE,0.87,,10,31,1.00,0.67,58,
Solanum acanthodapis  ,Unknown,,0.73,,17,11,0.81,0.97,58,
Leptospermum crassifolium  ,Unknown,,0.65,,10,13,1.00,0.89,58,
Genoplesium despectans  ,Unknown,,0.86,,14,20,0.87,0.77,58,
Acrophyllum australe,Unknown,V,0.94,,42,10,0.62,1.00,58,
Darwinia glaucophylla,Unknown,V,0.89,,36,10,0.64,1.00,57,
Eucalyptus microcodon,Unknown,E,0.74,,10,20,1.00,0.77,57,
Hakea ochroptera,Unknown,,0.91,,21,17,0.76,0.82,57,
Darwinia fascicularis subsp. oligantha,Unknown,,0.95,,48,10,0.59,1.00,57,
Darwinia taxifolia subsp. taxifolia,Unknown,,0.94,,46,10,0.60,1.00,57,
Pterostylis vernalis,Unknown,CE,0.74,,13,15,0.90,0.85,56,
Asplenium harmanii  ,Unknown,,0.74,,13,15,0.90,0.85,56,
Epacris sprengelioides,Unknown,,0.83,,30,10,0.68,1.00,56,
Zieria adenodonta,Unknown,E,0.67,,10,16,1.00,0.84,56,
Acacia flocktoniae,Unknown,V,0.76,,15,14,0.85,0.87,56,
Pimelea axiflora subsp. pubescens,Unknown,E,0.72,,10,20,1.00,0.77,56,
Plinthanthesis urvillei  ,Unknown,,0.96,,20,21,0.77,0.75,56,
Acianthus exiguus  ,Unknown,,0.78,,10,25,1.00,0.71,56,
Corunastylis sp. Charmhaven (NSW896673),Unknown,CE,0.82,,10,31,1.00,0.67,55,
Acacia yalwalensis  ,Unknown,,0.73,,10,21,1.00,0.75,55,
Hibbertia puberula subsp. puberula,Unknown,E,0.77,,18,13,0.80,0.89,55,
Persoonia recedens,Unknown,,0.94,,26,16,0.71,0.83,55,
Eucalyptus cunninghamii,Unknown,,0.95,,56,10,0.57,1.00,55,
Wahlenbergia scopulicola,Unknown,E,0.60,,10,13,1.00,0.91,54,
Pultenaea rodwayi,Unknown,,0.77,,13,19,0.90,0.78,54,
Westringia saxatilis  ,Unknown,,0.68,,10,18,1.00,0.79,54,
Hibbertia sulcinervis,Unknown,,0.54,,10,10,1.00,1.00,54,
Pomaderris notata,Unknown,V,0.73,,10,23,1.00,0.73,54,
Diuris arenaria,Unknown,E,0.86,,10,40,1.00,0.62,54,
Helichrysum calvertianum,Unknown,V,0.81,,20,15,0.77,0.85,53,
Zieria adenophora,Unknown,CE,0.66,,10,18,1.00,0.80,53,
Thelymitra adorata,Unknown,CE,0.82,,13,25,0.90,0.72,53,
Baloskion longipes,Unknown,V,0.72,,16,14,0.83,0.88,53,
Prasophyllum helophilum  ,Unknown,,0.67,,10,19,1.00,0.78,53,
Blechnum hindii  ,Unknown,,0.63,,10,15,1.00,0.84,53,
Philotheca obovatifolia,Unknown,E,0.60,,10,14,1.00,0.88,53,
Elaeocarpus sedentarius,Unknown,E,0.67,,19,10,0.78,1.00,53,
Sprengelia monticola,Unknown,,0.98,,74,10,0.53,1.00,52,
Grevillea molyneuxii,Unknown,V,0.74,,14,17,0.87,0.81,52,
Amperea xiphoclada var. papillata,Unknown,,0.86,,44,10,0.61,1.00,52,
Hakea dohertyi,Unknown,E,0.67,,15,12,0.85,0.92,52,
Acacia constablei,Unknown,V,0.78,,14,20,0.87,0.77,52,
Pomaderris gilmourii var. gilmourii,Unknown,,0.66,,10,19,1.00,0.79,52,
Velleia perfoliata,Unknown,V,0.75,,17,15,0.81,0.85,52,
Eucalyptus bensonii,Unknown,,0.75,,28,10,0.69,1.00,52,
Plectranthus cremnus  ,Unknown,,0.76,,10,29,1.00,0.68,52,
Kunzea rupestris,Unknown,V,0.82,,39,10,0.63,1.00,52,
Grevillea diffusa subsp. filipendula,Unknown,,0.90,,56,10,0.57,1.00,52,
Epacris decumbens,Unknown,,0.58,,10,13,1.00,0.90,52,
Pultenaea glabra,Unknown,V,0.92,,61,10,0.56,1.00,52,
Kunzea cambagei,Unknown,V,0.76,,20,14,0.77,0.88,52,
Micromyrtus blakelyi,Unknown,V,0.82,,39,10,0.63,1.00,51,
Lastreopsis silvestris  ,Unknown,,0.78,,16,18,0.83,0.80,51,
Epacris calvertiana var. versicolor,Unknown,,0.91,,24,19,0.72,0.78,51,
Leionema ceratogynum,Unknown,,0.53,,11,10,0.96,0.99,51,
Boronia anemonifolia subsp. wadbilligensis,Unknown,,0.50,,10,10,1.00,1.00,50,
Grevillea sericea subsp. riparia,Unknown,,0.70,,24,10,0.72,1.00,50,
Elaeocarpus williamsianus,Unknown,E,0.66,,20,10,0.77,1.00,50,
Philotheca buxifolia subsp. falcata,Unknown,,0.77,,17,18,0.81,0.80,50,
Solanum serpens  ,Unknown,,0.62,,10,17,1.00,0.81,50,
Epacris rigida,Unknown,,0.94,,37,16,0.64,0.83,50,
Styphelia laeta subsp. latifolia,Unknown,,0.86,,53,10,0.58,1.00,50,
Hibbertia singularis,Unknown,,0.50,,10,10,1.00,1.00,50,
Chiloglottis sphaerula  ,Unknown,,0.79,,10,39,1.00,0.63,50,
Chloanthes glandulosa  ,Unknown,,0.83,,23,17,0.73,0.81,50,
Leptospermum benwellii,Unknown,,0.65,,10,20,1.00,0.77,50,
Gentiana wissmannii,Unknown,V,0.86,,22,20,0.74,0.77,50,
Philotheca reichenbachii,Unknown,,0.90,,67,10,0.55,1.00,49,
Leptospermum sejunctum,Unknown,,0.72,,18,14,0.80,0.86,49,
Genoplesium plumosum,Unknown,CE,0.75,,13,24,0.90,0.73,49,
Diuris byronensis,Unknown,E,0.76,,10,35,1.00,0.65,49,
Grevillea capitellata,Unknown,,0.91,,41,14,0.62,0.87,49,
Darwinia diminuta,Unknown,,0.95,,84,10,0.52,1.00,49,
Thysanotus virgatus  ,Unknown,,0.91,,28,19,0.69,0.78,49,
Grevillea rhyolitica subsp. semivestita,Unknown,,0.65,,10,21,1.00,0.75,49,
Fontainea australis,Unknown,V,0.66,,17,12,0.81,0.91,49,
Parsonsia tenuis  ,Unknown,,0.78,,13,27,0.90,0.69,49,
Hibbertia oligodonta,Unknown,,0.67,,10,24,1.00,0.73,49,
