trait_name,trait_value,myrtle_rust,goats,C4_grasses,pigs,deer,phytophthora
habitat,agricultural,0,0.9,1,1,1,1
habitat,alpine,0,0,0,0,1,1
habitat,aquatic,2,0,0,1,0,0
habitat,beach,0,0,0,0,0,0
habitat,bog,2,0,0,1,1,0
habitat,bog_alpine,0,0,0,0,1,1
habitat,chenopod_shrubland,0,0.5,0,0,0,0
habitat,claypan,0,0.7,0.7,1,1,0.5
habitat,cliffs,0,1,0,0,0,1
habitat,cliffs_coastal,0,1,0,0,0,1
habitat,clifftops,0,1,0,0,0,1
habitat,coastal,0.5,0.5,0.5,0.7,0.7,1
habitat,creek_intermittent,0.5,0.5,0.7,0.7,0.5,0.5
habitat,crevices,0,1,0,0,0,0
habitat,cropland,0,0.9,1,1,1,1
habitat,cultivated,0,0.9,1,1,1,1
habitat,disturbed,0,0.9,1.5,1,1,1
habitat,dry_sclerophyll,0,0.9,0.8,0.5,0.5,1
habitat,dunes_coastal,0,0.9,0.5,0,0,1
habitat,dunes_consolidated,0,0.9,0.5,0,0,1
habitat,estuarine,1,0,0,0.5,0,0
habitat,feldmark_alpine,0,0,0,0,1,1
habitat,flats,0,0.5,0,0.5,0,1
habitat,flats_wet,1,0,0,1,0.5,1
habitat,floodplain,1,0,1,1,1,0
habitat,forest,0,0,0,1,1,1
habitat,forest_closed,0,0,0,1,1,1
habitat,forest_cloud,2,0,0,1,1,0
habitat,forest_dry,0,0,0,1,1,1
habitat,forest_dry_sclerophyll,0,0.9,0.8,0.5,0.5,1
habitat,forest_eucalypt,0,0,0,1,1,1
habitat,forest_eucalypt_wet,2,0,0,1,0.5,1
habitat,forest_gallery,2,0,0,1,1,1
habitat,forest_lowland,0,0,0,1,1,1
habitat,forest_moist_sclerophyll,1,0,0,1,1,1
habitat,forest_monsoon,2,0,0,1,1,0
habitat,forest_open,0,0,0,1,1,1
habitat,forest_sclerophyll,0,0.9,0.8,0.5,0.5,1
habitat,forest_subalpine,0,0,0,0,1,1
habitat,forest_wet,2,0,0,1,0.5,1
habitat,forest_wet_sclerophyll,2,0,0,1,0.5,1
habitat,grassland,0,0.9,1.5,0,1,.5
habitat,grassland_alpine,0,0,0,0,1,.5
habitat,grassland_subalpine,0,0,0,0,1,.5
habitat,grassland_tussock,0,0.9,1.5,0,1,.5
habitat,headland_coastal,0,0,0,0,0,1
habitat,heath,0,0.5,0,0.3,0.3,2
habitat,heath_alpine,0,0,0,0,1,1
habitat,heath_closed,0,0.5,0,0.3,0.3,2
habitat,heath_coastal,0,0.5,0,0.3,0.3,2
habitat,heath_subalpine,0,0,0,0,1,2
habitat,heath_wet,1,0,0,1,0.5,2
habitat,herbfield,0,0.9,0.8,1,1,.5
habitat,herbfield_alpine,0,0,0,0,1,0
habitat,herbfield_subalpine,0,0,0,0,1,.5
habitat,inundated_intermittent,1,0,0.8,1,0,0
habitat,kwongan,0,0.9,0,0,0.5,2
habitat,lagoons,1,0,0,0,0,0
habitat,lake_margin,1,0,0,1,0.5,0.5
habitat,lakes,0,0,0,0,0,0
habitat,lakes_salt,0,0,0,0,0,0
habitat,littoral,0,0,0,0.3,0,0
habitat,mallee,0,0.9,0.8,0.5,0.3,1
habitat,mallee_heath,0,0.7,0,0.3,0.3,1
habitat,mangroves,1,0,0,0.5,0,0
habitat,marsh_salt,0,0,0,0.5,0,0
habitat,montane,0,0,0,1,1,1
habitat,moors,0,0.9,0,1,1,1
habitat,mountain_summits,0,0,0,0,1,1
habitat,mud,1,0,0,1,0.5,1
habitat,open,0,0.9,0,0.5,0.5,1
habitat,paddock,0,0.9,1,0.5,0.5,0.5
habitat,pasture,0,0.9,1,0.5,0.5,0.5
habitat,plains,0,0.9,0.7,0,0,1
habitat,plains_coastal,0,0.9,0.7,0,0,1
habitat,plains_stony,0,0.9,0.7,0,0,0
habitat,rainforest,2,0,0,1,1,.5
habitat,rainforest_coastal,2,0,0,1,1,.5
habitat,rainforest_cool,2,0,0,1,1,.5
habitat,rainforest_cool_subtropical,2,0,0,1,1,.5
habitat,rainforest_cool_temperate,2,0,0,1,1,.5
habitat,rainforest_dry,2,0,0,1,1,.5
habitat,rainforest_gallery,2,0,0,1,1,.5
habitat,rainforest_littoral,2,0,0,1,1,.5
habitat,rainforest_lowland,2,0,0,1,1,.5
habitat,rainforest_margin,2,0,0,1,1,.5
habitat,rainforest_moist,2,0,0,1,1,.5
habitat,rainforest_montane,2,0,0,1,1,.5
habitat,rainforest_notophyll,2,0,0,1,1,.5
habitat,rainforest_subcoastal,2,0,0,1,1,.5
habitat,rainforest_subtropical,2,0,0,1,1,.5
habitat,rainforest_subtropical_upland,2,0,0,1,1,.5
habitat,rainforest_temperate,2,0,0,1,1,.5
habitat,rainforest_tropical,2,0,0,1,1,.5
habitat,rainforest_tropical_lowland,2,0,0,1,1,.5
habitat,rainforest_warm_temperate,2,0,0,1,1,.5
habitat,riparian,1,0,0,1,1,.5
habitat,roadside,0,0.9,1.5,1,1,1
habitat,rock_pools_shallow,0,0.9,0,0,0,0
habitat,rocky,0,1,0,0,0,1
habitat,rocky_outcrop,0,1,0,0,0,1
habitat,saltmarshes,0,0,0,0,0.3,0
habitat,saltpan,0,0,0,0,0.3,0
habitat,sampire,0,0,0,0.5,0,1
habitat,sanddunes,0,0.5,0,0,0,1
habitat,sanddunes_coastal,0,0.5,0,0,0,1
habitat,sandhills,0,0.5,0,0,0,1
habitat,sandplain,0,0.5,0,0,0,1
habitat,savanna,0,0,2,0.5,0,.3
habitat,savanna_eucalyptus,0,0,2,0.5,0,.3
habitat,sclerophyll,0,0.9,1,0.5,0.5,1
habitat,scrubland,0,0.9,0,0.5,0,1
habitat,scrubland_acacia,0,0.9,0,0.5,0,1
habitat,scrubland_coastal,0,0.9,0,0.5,0,1
habitat,scrubland_heath,0,0.7,0,0.3,0.3,1
habitat,scrubland_open,0,0.9,0,0.5,0,1
habitat,scrubland_riparian,0,0.9,0,0.5,0,1
habitat,sedgeland,0,0.9,0,0.5,0,.3
habitat,semiaquatic,1,0,0,1,1,0
habitat,shrubland,0,0.9,0.5,0.5,0,1
habitat,shrubland_chenopod,0,0.5,0,0,0,0
habitat,shrubland_eucalypt,0,0.9,0.5,0.5,0,1
habitat,shrubland_mallee,0,0.9,0.5,0.5,0,1
habitat,shrubland_open,0,0.9,0.5,0.5,0,1
habitat,shrubland_tall,0,0.9,0.5,0.5,0,1
habitat,snowbank,0,0,0,0,0.5,0
habitat,steppe,0,0.9,1,0.5,0.5,1
habitat,streambanks,1,0,1,1,1,.5
habitat,streams,1,0,0.5,1,0,.5
habitat,subalpine,0,0,0,0,1,1
habitat,swamp,2,0,0,1,0,0.5
habitat,swamp_forest,2,0,0,1,1,.5
habitat,swamp_lowland,2,0,0,1,0,0.5
habitat,swamp_margin,2,0,0,1,0,0.5
habitat,thickets,0,0.5,0,0,0.5,1
habitat,tidal_flats,0,0,0,0,0,0
habitat,urban,0,0.5,0,0,0.5,0.5
habitat,various,0,0.5,0.5,0.5,0.5,0.5
habitat,vine_thicket,0,0,0,1,0.5,0
habitat,water_shallow,1,0,0,1,1,0
habitat,waterholes,1,0,0,1,1,0
habitat,wet_sclerophyll,2,0,0,1,0.5,1
habitat,woodland,0,0.9,0.9,0.5,0.5,1
habitat,woodland_acacia,0,0.9,0.9,0.5,0.5,1
habitat,woodland_dry,0,0.9,0.9,0.5,0.5,1
habitat,woodland_dry_sclerophyll,0,0.9,0.9,0.5,0.5,1
habitat,woodland_eucalypt,0,0.9,0.9,0.5,0.5,1
habitat,woodland_grassy,0,0.9,1.5,0.5,0.5,1
habitat,woodland_low,0,0.9,0.9,0.5,0.5,1
habitat,woodland_moist_sclerophyll,2,0,0,1,1,1
habitat,woodland_montane,0,0,0,1,1,1
habitat,woodland_mulga,0,0.9,0.9,0.5,0.5,1
habitat,woodland_open,0,0.9,1,0.5,0.5,1
habitat,woodland_paperbark,0,0.9,0.9,0.5,0.5,1
habitat,woodland_sclerophyll,0,0.9,0.9,0.5,0.5,1
habitat,woodland_semiarid,0,0.9,0.9,0.5,0.5,1
habitat,woodland_subalpine,0,0,0,0,1,1
habitat,woodland_wandoo,0,0.9,0.9,0.5,0.5,1
habitat,woodland_wet_sclerophyll,2,0,0,1,0.5,1
