species,None,Low,Moderate,High,Paddock,None (prop),Low (prop),Mod (prop),High (prop),Paddock (prop),decline (prop_,woodiness
Eriachne triseta,4,3,5,0,0,0.8,0.75,1,0,0,0.8,herbaceous
Planchonia careya,4,2,2,0,1,0.8,0.5,0.4,0,0.2,0.8,woody
Eucalyptus tetrodonta,5,3,3,1,0,1,0.75,0.6,0.2,0,0.8,woody
Aristida holathera*,3,0,0,0,0,0.6,0,0,0,0,0.6,herbaceous
Heteropogon triticeus,3,1,0,0,0,0.6,0.25,0,0,0,0.6,herbaceous
Sauropus paucifolius,3,2,1,0,0,0.6,0.5,0.2,0,0,0.6,herbaceous
Alphitonia excelsa,3,2,4,0,0,0.6,0.5,0.8,0,0,0.6,woody
Corymbia porrecta,4,2,2,1,0,0.8,0.5,0.4,0.2,0,0.6,woody
Ficus opposita,4,0,1,1,1,0.8,0,0.2,0.2,0.2,0.6,woody
Pandanus spiralis,4,4,2,1,0,0.8,1,0.4,0.2,0,0.6,woody
Bonamia brevifolia,2,0,0,0,0,0.4,0,0,0,0,0.4,herbaceous
Cartonema spicatum,2,0,1,0,0,0.4,0,0.2,0,0,0.4,herbaceous
Chrysopogon fallax,2,1,0,0,0,0.4,0.25,0,0,0,0.4,herbaceous
Commelina ensifolia,2,0,0,0,0,0.4,0,0,0,0,0.4,herbaceous
Fimbristylis xyridis,2,0,0,0,0,0.4,0,0,0,0,0.4,herbaceous
Thysanotus banksii,2,0,0,0,0,0.4,0,0,0,0,0.4,herbaceous
Acacia lamprocarpa,2,1,1,0,0,0.4,0.25,0.2,0,0,0.4,woody
Brachychiton diversifolius,2,1,1,0,0,0.4,0.25,0.2,0,0,0.4,woody
Brachychiton megaphyllus,2,0,0,0,0,0.4,0,0,0,0,0.4,woody
Calytrix exstipulata,2,0,1,0,0,0.4,0,0.2,0,0,0.4,woody
Grevillea decurrens,2,0,0,0,0,0.4,0,0,0,0,0.4,woody
Livistona humilis,2,0,0,0,0,0.4,0,0,0,0,0.4,woody
Pachynema junceum,2,0,0,0,0,0.4,0,0,0,0,0.4,woody
Persoonia falcata,2,0,0,0,0,0.4,0,0,0,0,0.4,woody
Petalostigma quadriloculare,2,0,0,0,0,0.4,0,0,0,0,0.4,woody
Pouteria arnhemica,2,1,1,0,0,0.4,0.25,0.2,0,0,0.4,woody
Desmodium pycnotrichum,3,3,3,1,0,0.6,0.75,0.6,0.2,0,0.4,herbaceous
Thaumastochloa major,3,1,1,1,0,0.6,0.25,0.2,0.2,0,0.4,herbaceous
Buchanania obovata,4,2,4,2,0,0.8,0.5,0.8,0.4,0,0.4,woody
Anisomeles malabarica,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Arthrostylis aphylla,1,1,1,0,0,0.2,0.25,0.2,0,0,0.2,herbaceous
Cyanthillium cinereum,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Dunbaria singuliflora,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Eriachne burkittii,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Euphorbia schizolepis,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Galactia tenuiflora,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Goodenia armstrongiana,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Gymnanthera oblonga,1,1,0,0,0,0.2,0.25,0,0,0,0.2,herbaceous
Ipomoea diversifolia,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Ipomoea graminea,1,1,0,0,0,0.2,0.25,0,0,0,0.2,herbaceous
Kailarsenia suffruticosa,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Lomandra tropica,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Mitracarpus hirtus,1,0,3,0,1,0.2,0,0.6,0,0.2,0.2,herbaceous
Salomonia ciliata,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Sauropus ditassoides,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Schizachyrium fragile,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Secamone elliptica,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Smilax australis,1,3,3,0,0,0.2,0.75,0.6,0,0,0.2,herbaceous
Striga curviflora,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Trachymene sp.,1,0,0,0,0,0.2,0,0,0,0,0.2,herbaceous
Acacia difficilis,1,0,1,0,0,0.2,0,0.2,0,0,0.2,woody
Antidesma ghesaembilla,1,0,1,0,0,0.2,0,0.2,0,0,0.2,woody
Bridelia tomentosa,1,0,1,0,0,0.2,0,0.2,0,0,0.2,woody
Cochlospermum fraseri,1,0,0,0,0,0.2,0,0,0,0,0.2,woody
Distichostemon hispidulus,1,0,0,0,0,0.2,0,0,0,0,0.2,woody
Eucalyptus tectifica,1,0,0,0,0,0.2,0,0,0,0,0.2,woody
Hakea arborescens,1,0,0,0,0,0.2,0,0,0,0,0.2,woody
Jacksonia dilatata,1,0,1,0,0,0.2,0,0.2,0,0,0.2,woody
Owenia vernicosa,1,0,0,0,0,0.2,0,0,0,0,0.2,woody
Pavetta brownii,1,0,0,0,0,0.2,0,0,0,0,0.2,woody
Syzygium eucalyptoides subsp. bleeseri,1,1,0,0,0,0.2,0.25,0,0,0,0.2,woody
Verticordia cunninghamii,1,0,0,0,0,0.2,0,0,0,0,0.2,woody
Crotalaria medicaginea,2,0,1,1,0,0.4,0,0.2,0.2,0,0.2,herbaceous
Eragrostis cumingii,2,3,4,1,2,0.4,0.75,0.8,0.2,0.4,0.2,herbaceous
Spermacoce leptoloba,2,2,4,1,0,0.4,0.5,0.8,0.2,0,0.2,herbaceous
Urochloa holosericea,2,1,2,1,0,0.4,0.25,0.4,0.2,0,0.2,herbaceous
Whiteochloa capillipes,2,3,1,1,0,0.4,0.75,0.2,0.2,0,0.2,herbaceous
Denhamia obscura,2,0,1,1,0,0.4,0,0.2,0.2,0,0.2,woody
Gardenia megasperma,2,0,2,1,0,0.4,0,0.4,0.2,0,0.2,woody
Ampelocissus acetosa,3,2,2,2,0,0.6,0.5,0.4,0.4,0,0.2,herbaceous
Goodenia holtzeana,3,2,3,2,0,0.6,0.5,0.6,0.4,0,0.2,herbaceous
Croton arnhemicus,3,2,0,2,0,0.6,0.5,0,0.4,0,0.2,woody
Petalostigma pubescens,3,1,1,2,0,0.6,0.25,0.2,0.4,0,0.2,woody
Terminalia ferdinandiana,4,2,4,3,0,0.8,0.5,0.8,0.6,0,0.2,woody
Erythrophleum chlorostachys,5,4,5,4,1,1,1,1,0.8,0.2,0.2,woody
Alysicarpus vaginalis,0,0,0,0,2,0,0,0,0,0.4,0,herbaceous
Bidens bipinnata,0,0,2,0,0,0,0,0.4,0,0,0,herbaceous
Bothriochloa bladhii,0,0,0,0,1,0,0,0,0,0.2,0,herbaceous
Chamaecrista nomame,0,1,0,0,0,0,0.25,0,0,0,0,herbaceous
Chamaecrista rotundifolia,0,0,0,0,3,0,0,0,0,0.6,0,herbaceous
Crotalaria brevis,0,1,0,0,0,0,0.25,0,0,0,0,herbaceous
Crotalaria montana,0,0,1,0,0,0,0,0.2,0,0,0,herbaceous
Cyperus aquatilis,0,1,0,0,0,0,0.25,0,0,0,0,herbaceous
Cyperus iria,0,0,0,0,4,0,0,0,0,0.8,0,herbaceous
Ectrosia leporina,0,0,0,0,2,0,0,0,0,0.4,0,herbaceous
Evolvulus nummularis,0,1,0,0,0,0,0.25,0,0,0,0,herbaceous
Fimbristylis depauperata,0,0,0,0,2,0,0,0,0,0.4,0,herbaceous
Fimbristylis dichotoma,0,1,0,0,0,0,0.25,0,0,0,0,herbaceous
Fimbristylis littoralis,0,1,0,0,2,0,0.25,0,0,0.4,0,herbaceous
Flemingia parviflora,0,2,2,0,0,0,0.5,0.4,0,0,0,herbaceous
Fuirena ciliaris,0,0,0,0,2,0,0,0,0,0.4,0,herbaceous
Ipomoea abrupta,0,2,1,0,0,0,0.5,0.2,0,0,0,herbaceous
Ludwigia hyssopifolia,0,1,0,0,3,0,0.25,0,0,0.6,0,herbaceous
Ludwigia octovalvis,0,0,0,0,1,0,0,0,0,0.2,0,herbaceous
Macroptilium lathyroides,0,0,0,0,2,0,0,0,0,0.4,0,herbaceous
Mitrasacme connata,0,2,2,0,0,0,0.5,0.4,0,0,0,herbaceous
Panicum mindanaense,0,0,0,0,2,0,0,0,0,0.4,0,herbaceous
Phyllanthus urinaria,0,0,0,0,1,0,0,0,0,0.2,0,herbaceous
Phyllanthus virgatus,0,1,0,0,0,0,0.25,0,0,0,0,herbaceous
Poranthera microphylla,0,2,0,0,0,0,0.5,0,0,0,0,herbaceous
Rhynchospora heterochaeta,0,1,0,0,0,0,0.25,0,0,0,0,herbaceous
Scleria novae-hollandiae,0,1,0,0,0,0,0.25,0,0,0,0,herbaceous
Senna tora,0,0,0,0,2,0,0,0,0,0.4,0,herbaceous
Sida cordifolia,0,0,1,0,0,0,0,0.2,0,0,0,herbaceous
Sporobolus pulchellus,0,1,1,0,1,0,0.25,0.2,0,0.2,0,herbaceous
Stylosanthes hamata,0,0,0,0,1,0,0,0,0,0.2,0,herbaceous
Themeda triandra,0,1,0,0,0,0,0.25,0,0,0,0,herbaceous
Urochloa polyphylla,0,1,2,0,0,0,0.25,0.4,0,0,0,herbaceous
Vigna lanceolata var. filiformis,0,1,0,0,0,0,0.25,0,0,0,0,herbaceous
Xyris complanata,0,0,0,0,2,0,0,0,0,0.4,0,herbaceous
Acacia dimidiata,0,2,1,0,0,0,0.5,0.2,0,0,0,woody
Acacia platycarpa,0,0,2,0,0,0,0,0.4,0,0,0,woody
Acacia plectocarpa,0,1,0,0,0,0,0.25,0,0,0,0,woody
Aeschynomene villosa,0,1,0,0,1,0,0.25,0,0,0.2,0,woody
Hibbertia cistifolia,0,1,0,0,0,0,0.25,0,0,0,0,woody
Livistona inermis,0,0,1,0,0,0,0,0.2,0,0,0,woody
Melaleuca viridiflora,0,1,0,0,0,0,0.25,0,0,0,0,woody
Wrightia saligna,0,1,0,0,0,0,0.25,0,0,0,0,woody
Spermacoce exserta,1,0,3,1,0,0.2,0,0.6,0.2,0,0,herbaceous
Tacca leontopetaloides,1,0,1,1,0,0.2,0,0.2,0.2,0,0,herbaceous
Tephrosia remotiflora,1,2,2,1,0,0.2,0.5,0.4,0.2,0,0,herbaceous
Ficus scobina,1,0,2,1,0,0.2,0,0.4,0.2,0,0,woody
Sarga timorense,2,1,0,2,2,0.4,0.25,0,0.4,0.4,0,herbaceous
Setaria apiculata,2,1,4,2,0,0.4,0.25,0.8,0.4,0,0,herbaceous
Corymbia latifolia,2,0,0,2,0,0.4,0,0,0.4,0,0,woody
Hibiscus meraukensis,2,0,3,2,0,0.4,0,0.6,0.4,0,0,woody
Syzygium suborbiculare,3,2,4,3,1,0.6,0.5,0.8,0.6,0.2,0,woody
Xanthostemon paradoxus,3,2,4,3,0,0.6,0.5,0.8,0.6,0,0,woody
Eucalyptus miniata,5,3,4,5,1,1,0.75,0.8,1,0.2,0,woody
Abrus precatorius,0,0,0,1,0,0,0,0,0.2,0,-0.2,herbaceous
Alloteropsis semialata,0,2,0,1,0,0,0.5,0,0.2,0,-0.2,herbaceous
Cassytha filiformis,0,0,0,1,0,0,0,0,0.2,0,-0.2,herbaceous
Cyperus cuspidatus,0,0,1,1,2,0,0,0.2,0.2,0.4,-0.2,herbaceous
Cyperus javanicus,0,1,1,1,0,0,0.25,0.2,0.2,0,-0.2,herbaceous
Cyperus nervulosus,0,0,0,1,0,0,0,0,0.2,0,-0.2,herbaceous
Cyperus pulchellus,0,1,0,1,0,0,0.25,0,0.2,0,-0.2,herbaceous
Decaisnina signata,0,0,0,1,0,0,0,0,0.2,0,-0.2,herbaceous
Desmodium pullenii,0,0,1,1,0,0,0,0.2,0.2,0,-0.2,herbaceous
Desmodium trichostachyum,0,0,0,1,0,0,0,0,0.2,0,-0.2,herbaceous
Digitaria violascens,0,0,0,1,0,0,0,0,0.2,0,-0.2,herbaceous
Fimbristylis acuminata,0,0,0,1,0,0,0,0,0.2,0,-0.2,herbaceous
Gomphrena canescens,0,0,1,1,0,0,0,0.2,0.2,0,-0.2,herbaceous
Lindernia ciliata,0,0,0,1,1,0,0,0,0.2,0.2,-0.2,herbaceous
Panicum trichoides,0,0,1,1,0,0,0,0.2,0.2,0,-0.2,herbaceous
Passiflora foetida,0,1,2,1,2,0,0.25,0.4,0.2,0.4,-0.2,herbaceous
Pennisetum pedicellatum,0,0,1,1,1,0,0,0.2,0.2,0.2,-0.2,herbaceous
Physalis minima,0,0,0,1,0,0,0,0,0.2,0,-0.2,herbaceous
Rhynchospora longisetis,0,0,0,1,0,0,0,0,0.2,0,-0.2,herbaceous
Scleria rugosa,0,0,0,1,0,0,0,0,0.2,0,-0.2,herbaceous
Sida acuta,0,0,0,1,1,0,0,0,0.2,0.2,-0.2,herbaceous
Breynia cernua,0,0,0,1,0,0,0,0,0.2,0,-0.2,woody
Canarium australianum,0,0,0,1,0,0,0,0,0.2,0,-0.2,woody
Corymbia confertiflora,0,1,0,1,0,0,0.25,0,0.2,0,-0.2,woody
Ficus virens,0,0,0,1,0,0,0,0,0.2,0,-0.2,woody
Maranthes corymbosa,0,0,0,1,0,0,0,0,0.2,0,-0.2,woody
Melaleuca nervosa,0,1,2,1,0,0,0.25,0.4,0.2,0,-0.2,woody
Strychnos lucida,0,0,0,1,0,0,0,0,0.2,0,-0.2,woody
Stylosanthes scabra,0,0,0,1,1,0,0,0,0.2,0.2,-0.2,woody
Vitex glabrata,0,0,1,1,0,0,0,0.2,0.2,0,-0.2,woody
Calopogonium mucunoides,1,1,1,2,2,0.2,0.25,0.2,0.4,0.4,-0.2,herbaceous
Crotalaria goreensis,1,0,1,2,0,0.2,0,0.2,0.4,0,-0.2,herbaceous
Spermacoce breviflora,1,1,0,2,0,0.2,0.25,0,0.4,0,-0.2,herbaceous
Corymbia polysciada,1,1,1,2,0,0.2,0.25,0.2,0.4,0,-0.2,woody
Urena lobata,1,1,2,2,0,0.2,0.25,0.4,0.4,0,-0.2,woody
Alstonia actinophylla,2,3,5,3,0,0.4,0.75,1,0.6,0,-0.2,woody
Bulbostylis barbata,0,0,2,2,2,0,0,0.4,0.4,0.4,-0.4,herbaceous
Fimbristylis pauciflora,0,1,1,2,2,0,0.25,0.2,0.4,0.4,-0.4,herbaceous
Melochia corchorifolia,0,1,0,2,3,0,0.25,0,0.4,0.6,-0.4,herbaceous
Triumfetta pentandra,0,0,1,2,0,0,0,0.2,0.4,0,-0.4,herbaceous
Corymbia bleeseri,0,1,0,2,0,0,0.25,0,0.4,0,-0.4,woody
Corymbia grandifolia,0,1,1,2,0,0,0.25,0.2,0.4,0,-0.4,woody
Mallotus nesophilus,0,0,0,2,0,0,0,0,0.4,0,-0.4,woody
Parinari nonda,1,0,0,3,0,0.2,0,0,0.6,0,-0.4,woody
Waltheria indica,1,2,4,3,0,0.2,0.5,0.8,0.6,0,-0.4,woody
Lophostemon lactifluus,2,1,2,4,0,0.4,0.25,0.4,0.8,0,-0.4,woody
Corymbia polycarpa,3,2,3,5,0,0.6,0.5,0.6,1,0,-0.4,woody
Hyptis suaveolens,1,0,3,4,2,0.2,0,0.6,0.8,0.4,-0.6,herbaceous
Corymbia bella,1,0,0,4,0,0.2,0,0,0.8,0,-0.6,woody
